,Time,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,Amount,Class
222467,142981.0,0.221662008018168,1.02527555888977,-2.26594263440558,-0.539348587308905,1.2133031039820399,-0.765398179947028,1.0187759744352098,0.249077559406856,-0.611265096005832,-0.9309501824267091,0.19528313646220102,-0.193978797297244,-1.2634061654716002,-0.157420712564107,-1.27826062309882,0.3899268498462371,0.491703590829546,0.7894137137548821,0.10848806629775802,-0.26602728273169396,0.19570604271870498,0.419319474955186,-0.0307120825542221,0.12112767405087199,-0.27660311106180896,0.529939833208403,-0.17490572442527,-0.058380223587242,39.9,0
41964,40898.0,-0.494986303081629,1.07774462346726,1.77761854166416,0.0351880528232918,-0.0659284087262218,-0.707023673938962,0.7092818115718008,-0.0162055874285204,-0.579128313569786,-0.386151781396204,0.45895326057246094,0.7122093749867259,0.861293668072828,0.0148947190530349,0.957628601362255,-0.29317130831656,0.0247259071758806,-1.09010395675956,-0.551993178973629,0.11173028591649901,-0.153603129101743,-0.30506028835058,0.0657828187941128,0.612829862705957,-0.30539871449612604,0.06470150929036099,0.2881019163272511,0.12511007209850503,4.49,0
245090,152603.0,-5.45456090330119,4.58202342202574,-5.869098308376159,-2.5672494202488703,1.0015139825496502,2.29976297153171,-1.3319711242251002,3.1726831555838997,0.8035718333087499,2.0416932738731997,-0.790912190338105,0.970362851561126,-0.0463192581010294,1.91355382175852,0.21906226637386703,-0.296853133822152,0.41955520611487,-0.48752968355266996,-0.536842245889855,0.36972026027060906,0.29855361313763,0.575611034546359,0.234649757663596,0.708673023246218,0.205147864599192,-0.0227683812373275,-1.2522976459010802,-0.33030455929609004,1.54,0
79243,57934.0,-0.36851086125918603,1.0707824578408,1.35009219025268,-0.163841481762495,0.221042946675638,-0.5793464298555511,0.721252670783086,-0.0544920418572168,-0.41761988833977404,-0.32229150640934495,-0.8127362210335679,-0.0202642736043186,0.5133433521232771,0.0322265181865733,0.844277659527764,0.336569101443088,-0.6104327968632479,-0.22569355786407003,0.21360362113666798,0.13517537744058303,-0.25994535727424,-0.661157161326968,-0.0966934858985284,-0.16137027953490302,-0.11004281487798,0.10322907155932902,0.267744360522436,0.11617910748464098,1.78,0
95659,65410.0,-0.386942170552996,1.0205474376643902,1.2475432369346,0.0213367577392308,0.13767257681024697,-0.531334737589485,0.583140410482324,0.111559429820166,-0.274888958384421,-0.532690735145993,-0.130156039661133,-0.431446830178089,-0.7238890907707142,-0.23721819604540198,1.23600498648311,0.128784823813014,0.333824207403792,-0.48634030297111297,-0.444332946406007,0.0320610759055888,-0.24484357324175,-0.6421581609279711,0.0275100731433548,0.000153611774685249,-0.26077037909055395,0.10428317382814,0.25632230362921,0.0932060432511003,4.49,0
41266,40616.0,-0.6516253279158599,1.4073732900949902,0.792141887955647,0.0136745179085232,-0.0689158543821274,-0.8274405567691441,0.364606516016749,0.355730337567622,-0.5969518223627149,-0.7438422102100791,-0.6133554235495571,0.17237533063853197,0.634795322178308,-0.21328696821546397,0.8377355304071049,0.590233796913113,0.0241370391186812,-0.0323631836824828,0.0373516921567663,0.0373625598811933,-0.241545769303599,-0.73412877153948,-0.012822297093896002,-0.0159683155916757,-0.0759051446351058,0.0953524852481756,0.123073859259944,0.0324115566040666,1.99,0
63242,50624.0,-0.713111263740234,1.24974788119998,-0.6464735776037299,-0.566910984301118,2.15029060740074,3.37260541467813,-0.329583707102372,1.31640283982682,-0.7643149298757991,-0.308802960183044,-0.0897252020356545,-0.225940618756577,0.0786900695494679,0.11198585777999001,1.5759176774707901,0.42246386248920204,0.0316760099210894,0.489466018840293,1.2650616863829098,0.226156378782696,-0.217417957546678,-0.831678675411772,0.051106802639381,0.9499997313278499,-0.373896241891376,0.189161584902778,0.108960436728801,0.14684105395961303,1.79,0
232022,147014.0,-0.8399791687637509,-0.4524891795372129,1.3798775535781003,-1.50190781842291,-0.0994673008746081,1.57674566487684,-1.03611641404101,0.804850045321977,-0.3912663989157821,-0.160526955634668,-0.46503941102688395,0.4028072479956671,1.36979426268666,-0.514553397791605,1.8717361763223601,-1.5489764384630098,0.0582466900634228,0.657877260537209,-2.7192969051925897,-0.551306471869814,0.0455563525326263,0.674179180825057,-0.0054511439369539895,-0.36534902915833706,-0.446562191695219,-0.265593349400856,-0.261618705267021,-0.318686771696916,32.56,0
56499,47458.0,-0.644152191097236,-0.7448474086794991,1.1390363803580401,-0.9798972021633799,0.727311212374912,1.01581102431101,-0.0759553413553872,0.167361936143534,-1.14106315852498,0.576301673595931,-0.44975662889704293,-1.4354205869207002,-1.2753817445112,-0.20880381205131,-0.269558713413768,0.36837222834936106,0.522529554157406,-0.649849471823624,2.71401752011006,0.564701074083191,0.0921410444771124,0.199250271661763,-0.32212019232382505,-1.70844961338283,0.5780237834090739,0.129166241974982,-0.132601439509552,-0.17695897518700499,79.42,0
58761,48533.0,1.24384844934819,0.5245257729025871,-0.5388836260443309,1.20919597418592,0.47953759676378793,-0.19742873374782,0.0491662598481355,0.0377916321310988,0.128118590882765,-0.5529029064225041,-0.668358831257417,-0.8188036937467429,-0.883832091051869,-0.994580854433906,1.50684875024006,0.62400331534091,0.705794271683871,0.524181774270524,-0.73174984602915,-0.171540654731681,-0.0516598862539047,-0.0840894090242923,-0.192846388954053,-0.917391985542652,0.6819528130371221,-0.19441857434563398,0.0459171449577401,0.0401359980627264,1.0,1
